userId,submitDate,progressCreatedAt,taskId,isChecked,hasComment
697b4587cb49ac60fcc81a53,2026-01-25,2026-01-29T12:50:48.895Z,697b1e3bc671c89acb64125a,true,false
697b4587cb49ac60fcc81a53,2026-01-25,2026-01-29T12:50:48.895Z,697b1e3bc671c89acb64125e,false,false
697b4587cb49ac60fcc81a53,2026-01-25,2026-01-29T12:50:48.895Z,697b1e3bc671c89acb64125d,true,false
697b4587cb49ac60fcc81a53,2026-01-25,2026-01-29T12:50:48.895Z,697b1e3bc671c89acb641262,false,false
697b4587cb49ac60fcc81a53,2026-01-25,2026-01-29T12:50:48.895Z,697b1e3bc671c89acb641261,false,false
69818086f7c0b0206cb6e7aa,2026-01-27,2026-01-28T05:06:00.203Z,697b1e2cc01f188423ea7e10,true,true
69818086f7c0b0206cb6e7aa,2026-01-27,2026-01-28T05:06:00.203Z,697b1e2cc01f188423ea7e0f,true,true
69818086f7c0b0206cb6e7aa,2026-01-27,2026-01-28T05:06:00.203Z,697b1e2cc01f188423ea7e13,false,true
69818086f7c0b0206cb6e7aa,2026-01-27,2026-01-28T05:06:00.203Z,697b1e2cc01f188423ea7e14,false,false
69818086f7c0b0206cb6e7aa,2026-01-27,2026-01-28T05:06:00.203Z,697b1e2cc01f188423ea7e19,false,false
69818086f7c0b0206cb6e7aa,2026-01-27,2026-01-28T05:06:00.203Z,697b1e2cc01f188423ea7e18,true,true
69818086f7c0b0206cb6e7aa,2026-01-27,2026-01-28T05:06:00.203Z,697b1e2cc01f188423ea7e16,true,true
697b4587cb49ac60fcc81a53,2026-01-28,2026-01-29T13:40:49.148Z,697b1e3bc671c89acb64125a,true,false
697b4587cb49ac60fcc81a53,2026-01-28,2026-01-29T13:40:49.148Z,697b1e3bc671c89acb64125e,false,false
697b4587cb49ac60fcc81a53,2026-01-28,2026-01-29T13:40:49.148Z,697b1e3bc671c89acb64125d,false,false
697b4587cb49ac60fcc81a53,2026-01-28,2026-01-29T13:40:49.148Z,697b1e3bc671c89acb641262,false,false
697b4587cb49ac60fcc81a53,2026-01-28,2026-01-29T13:40:49.148Z,697b1e3bc671c89acb641261,false,false
69818086f7c0b0206cb6e7aa,2026-01-28,2026-01-29T05:06:00.203Z,697b1e2cc01f188423ea7e10,true,true
69818086f7c0b0206cb6e7aa,2026-01-28,2026-01-29T05:06:00.203Z,697b1e2cc01f188423ea7e0f,true,true
69818086f7c0b0206cb6e7aa,2026-01-28,2026-01-29T05:06:00.203Z,697b1e2cc01f188423ea7e13,false,true
69818086f7c0b0206cb6e7aa,2026-01-28,2026-01-29T05:06:00.203Z,697b1e2cc01f188423ea7e14,false,false
69818086f7c0b0206cb6e7aa,2026-01-28,2026-01-29T05:06:00.203Z,697b1e2cc01f188423ea7e19,false,false
69818086f7c0b0206cb6e7aa,2026-01-28,2026-01-29T05:06:00.203Z,697b1e2cc01f188423ea7e18,true,true
